idProyecto,Presupuesto,InicioPeriodo,FinPeriodo,idEspecie
111,5146,2015-07-16 13:46:53,NULL,10
112,6169,2015-02-22 07:39:39,NULL,8
113,5165,2015-04-01 10:00:25,NULL,2
114,6131,2015-05-13 03:18:02,NULL,15
115,5897,2015-07-03 23:18:02,NULL,7
116,9106,2015-09-24 09:10:51,NULL,20
117,8942,2015-10-23 14:52:39,NULL,11
118,7215,2015-10-30 14:04:05,NULL,1
119,8880,2015-05-20 19:30:49,NULL,1
120,6508,2015-07-03 13:45:59,NULL,11
121,7762,2015-11-27 04:03:44,NULL,16
122,7749,2015-10-17 09:01:07,NULL,22
123,8641,2015-04-06 06:56:48,NULL,5
124,7515,2015-08-29 09:44:37,NULL,14
125,9132,2015-11-26 10:17:58,NULL,13
126,9272,2015-04-28 22:21:21,NULL,12
127,9268,2015-08-28 06:10:04,NULL,23
128,8862,2015-03-29 23:40:36,NULL,20
129,6186,2015-01-03 21:57:52,NULL,23
130,6319,2015-05-26 15:06:51,NULL,11
131,7750,2015-11-29 14:25:59,NULL,6
132,9136,2015-04-30 12:41:40,NULL,21
133,5990,2015-09-09 16:34:52,NULL,9
134,9698,2015-12-13 13:29:48,NULL,11
135,9413,2015-08-11 12:35:01,NULL,7
136,8881,2015-07-04 01:05:58,NULL,12
137,7354,2015-05-09 11:57:36,NULL,11
138,5116,2015-03-27 08:57:04,NULL,24
139,5042,2015-01-15 01:25:14,NULL,15
140,9804,2015-06-12 04:57:04,NULL,11
141,9049,2015-06-14 16:10:06,NULL,17
142,6555,2015-08-15 08:34:12,NULL,3
143,6644,2015-01-03 08:50:41,NULL,8
144,5054,2015-07-08 20:00:10,NULL,7
145,9311,2015-04-17 05:55:44,NULL,10
146,5026,2015-03-10 16:05:19,NULL,16
147,7969,2015-01-30 01:23:36,NULL,17
148,5376,2015-08-06 08:08:01,NULL,10
149,8969,2015-08-28 17:37:49,NULL,11
150,7471,2015-03-23 14:37:01,NULL,2
151,7124,2015-05-12 20:29:13,NULL,4
152,6794,2015-09-22 11:30:21,NULL,14
153,6096,2015-09-06 15:20:19,NULL,1
154,8248,2015-10-26 01:42:07,NULL,20
155,9857,2015-10-03 14:33:35,NULL,4
156,9055,2015-06-05 01:45:28,NULL,19
157,7643,2015-01-13 22:54:58,NULL,16
158,8472,2015-09-22 14:17:53,NULL,4
159,9807,2015-03-15 05:27:20,NULL,10
160,6623,2015-03-27 00:03:59,NULL,20
161,6405,2015-04-16 10:14:24,NULL,16
162,8190,2015-04-11 00:53:13,NULL,16
163,8569,2015-08-10 16:22:37,NULL,10
164,5452,2015-07-01 04:46:28,NULL,18
165,9636,2015-01-12 14:26:58,NULL,11
166,8243,2015-04-14 15:20:13,NULL,3
167,8751,2015-02-20 07:13:41,NULL,17
168,8204,2015-07-19 00:09:35,NULL,18
169,9480,2015-10-16 20:30:15,NULL,16
170,5589,2015-04-15 21:58:23,NULL,4
171,7045,2015-01-12 09:32:06,NULL,4
172,6412,2015-07-17 16:16:42,NULL,7
173,7153,2015-05-11 19:27:16,NULL,20
174,8085,2015-03-25 13:54:32,NULL,1
175,5554,2015-08-15 23:44:26,NULL,1
176,5228,2015-09-06 23:51:54,NULL,12
177,5572,2015-10-23 18:14:13,NULL,4
178,8949,2015-03-06 11:44:02,NULL,12
179,6157,2015-09-11 01:10:19,NULL,23
180,6117,2015-05-31 13:14:38,NULL,19
181,8716,2015-12-15 18:48:29,NULL,19
182,5711,2015-02-08 23:54:05,NULL,6
183,7941,2015-09-04 20:11:59,NULL,20
184,8883,2015-11-18 11:35:43,NULL,4
185,5752,2015-07-07 02:03:57,NULL,17
186,8831,2015-05-30 07:01:09,NULL,21
187,6127,2015-03-28 18:17:30,NULL,11
188,5817,2015-04-13 13:05:26,NULL,16
189,6516,2015-09-29 19:17:08,NULL,12
190,7759,2015-07-24 16:16:01,NULL,8
191,6703,2015-12-08 13:56:36,NULL,4
192,6182,2015-05-30 03:19:54,NULL,22
193,8793,2015-08-08 13:01:24,NULL,21
194,6018,2015-12-17 09:55:25,NULL,19
195,8734,2015-07-26 02:40:05,NULL,20
196,7343,2015-11-24 23:34:43,NULL,18
197,8892,2015-03-23 08:58:51,NULL,22
198,8665,2015-07-13 18:39:28,NULL,8
199,5732,2015-07-21 23:21:09,NULL,24
200,7105,2015-09-21 17:28:25,NULL,16
